tipo,total,ano
impeditivos_fechados,263,2022
impeditivos_abertos,263,2022
fechados,430,2022
abertos,433,2022
fechados,478,2021
abertos,489,2021
impeditivos_fechados,264,2021
impeditivos_abertos,264,2021
abertos,494,2020
fechados,489,2020
impeditivos_abertos,297,2020
impeditivos_fechados,298,2020
fechados,502,2019
abertos,509,2019
impeditivos_fechados,297,2019
impeditivos_abertos,297,2019
fechados,531,2018
abertos,534,2018
impeditivos_fechados,264,2018
impeditivos_abertos,264,2018
fechados,575,2017
abertos,576,2017
impeditivos_fechados,233,2017
impeditivos_abertos,233,2017
abertos,467,2016
fechados,458,2016
impeditivos_abertos,247,2016
impeditivos_fechados,247,2016
